entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
FR;0-29;2020-09-15;3091;2983;6114;57068;52300;110490;23576479.03461425;31173.0;572102.0;132.22076101453817;5.448853526119468;2426.5794699881085
FR;30-59;2020-09-15;2984;2560;5566;61969;45721;107899;25680932.859880406;28046.0;583863.0;109.20942846205706;4.803524114389848;2273.527224208159
FR;60+;2020-09-15;972;873;1849;26776;20591;47443;17857583.105505355;9770.0;265177.0;54.71065116862306;3.6843315973858966;1484.954590065707
FR;whole;2020-09-15;7050;6418;13538;145846;118659;265927;67114995.0;69031.0;1421669.0;102.85480912276012;4.855630952071122;2118.2583713222357
FR;0-29;2020-09-16;2980;3170;6196;54630;50864;106574;23576479.03461425;32034.0;582351.0;135.8727058139966;5.500806214808595;2470.050761799548
FR;30-59;2020-09-16;2850;2485;5345;56219;42448;98786;25680932.859880406;28865.0;583624.0;112.39856494891526;4.945821282195386;2272.5965726570494
FR;60+;2020-09-16;1012;894;1910;22931;18790;41774;17857583.105505355;10206.0;265021.0;57.15219097512457;3.851015579897442;1484.0810116028304
FR;whole;2020-09-16;6845;6553;13463;133802;112151;247219;67114995.0;71150.0;1431516.0;106.01207673486378;4.970255309755532;2132.9302043455414
FR;0-29;2020-09-17;3098;3138;6274;52204;47902;101036;23576479.03461425;32797.0;581715.0;139.1089820996955;5.637984236266901;2467.3531579755577
FR;30-59;2020-09-17;2959;2555;5522;56616;43045;99778;25680932.859880406;29486.0;577992.0;114.81670140598357;5.101454691414414;2250.6659051430256
FR;60+;2020-09-17;1055;880;1935;23991;19220;43281;17857583.105505355;10494.0;264185.0;58.76495121428151;3.972216439237655;1479.399527019722
FR;whole;2020-09-17;7117;6577;13745;132847;110216;244191;67114995.0;72834.0;1424429.0;108.52120304858848;5.11320676565838;2122.370716111951
FR;0-29;2020-09-18;3017;2996;6057;51177;46643;98872;23576479.03461425;33820.0;575459.0;143.44805240149103;5.877047713216754;2440.8182373420946
FR;30-59;2020-09-18;2852;2483;5345;54635;42025;96811;25680932.859880406;30150.0;568174.0;117.40227726346076;5.306473017068715;2212.435206696171
FR;60+;2020-09-18;1003;875;1881;26730;21801;48705;17857583.105505355;10809.0;264184.0;60.52890772585943;4.091466553614147;1479.3939271577804
FR;whole;2020-09-18;6875;6357;13293;132588;110514;244488;67114995.0;74838.0;1408350.0;111.50712296112069;5.313877942272873;2098.4133277518686
FR;0-29;2020-09-19;1149;1140;2300;19021;17839;37141;23576479.03461425;34097.0;571820.0;144.6229521801786;5.962890420062257;2425.3833626321884
FR;30-59;2020-09-19;1060;1057;2122;20060;16878;36971;25680932.859880406;30517.0;564733.0;118.83135307625315;5.403792588710063;2199.0361607239133
FR;60+;2020-09-19;430;356;788;11138;9578;20739;17857583.105505355;10882.0;264194.0;60.93769764759019;4.118942898021908;1479.4499257771956
FR;whole;2020-09-19;2640;2553;5211;50230;44315;94882;67114995.0;75554.0;1401282.0;112.57394863845255;5.391776958527976;2087.8821491382064
FR;0-29;2020-09-20;412;394;806;5865;5486;11395;23576479.03461425;34246.0;572485.0;145.2549379817109;5.981990794518634;2428.2039704041276
FR;30-59;2020-09-20;361;323;684;5545;5294;10844;25680932.859880406;30601.0;564647.0;119.1584439979822;5.419492178299008;2198.701281923096
FR;60+;2020-09-20;132;178;310;3984;3548;7540;17857583.105505355;10885.0;264292.0;60.95449723341474;4.118550693929442;1479.9987122474645
FR;whole;2020-09-20;905;896;1801;15395;14334;29788;67114995.0;75790.0;1401960.0;112.9255839175731;5.406003024337356;2088.89235557568
FR;0-29;2020-09-21;3372;3341;6760;46594;43696;91037;23576479.03461425;34507.0;556545.0;146.36197351325404;6.200217412787825;2360.5942141865116
FR;30-59;2020-09-21;3507;2931;6441;55494;43539;99124;25680932.859880406;31025.0;550213.0;120.80947436480498;5.63872536635812;2142.496158539321
FR;60+;2020-09-21;1327;1115;2443;28888;23872;52798;17857583.105505355;11116.0;262280.0;62.24806534190522;4.23821869757511;1468.7317900211317
FR;whole;2020-09-21;8212;7392;15657;131038;111170;243102;67114995.0;76708.0;1369597.0;114.29338555415225;5.600771613839692;2040.672132956279
FR;0-29;2020-09-22;3105;2987;6116;44614;40789;86019;23576479.03461425;34509.0;532074.0;146.3704565441471;6.4857519818671845;2256.8000896945873
FR;30-59;2020-09-22;3115;2793;5912;49577;38941;88628;25680932.859880406;31371.0;530942.0;122.15677744716511;5.908554983406851;2067.4560495793166
FR;60+;2020-09-22;1152;1020;2178;24695;19642;44407;17857583.105505355;11445.0;259244.0;64.09041992066437;4.414759840150592;1451.7306091666856
FR;whole;2020-09-22;7378;6811;14229;118941;99432;219180;67114995.0;77399.0;1322850.0;115.32296173157727;5.85092792077711;1971.0200380704787
FR;0-29;2020-09-23;2931;2813;5777;42393;38388;81383;23576479.03461425;34090.0;506883.0;144.59326157205294;6.725417897226777;2149.9520740811645
FR;30-59;2020-09-23;2841;2503;5350;44617;36016;80761;25680932.859880406;31376.0;512917.0;122.17624714488707;6.117169054642369;1997.2677892916256
FR;60+;2020-09-23;1001;871;1874;22325;17920;40313;17857583.105505355;11409.0;257783.0;63.88882489076976;4.425815511496103;1443.549210870129
FR;whole;2020-09-23;6778;6192;13015;109376;92393;202580;67114995.0;76951.0;1278211.0;114.6554506932467;6.020211060615188;1904.5088210168235
FR;0-29;2020-09-24;2760;2690;5480;40940;36636;78121;23576479.03461425;33296.0;483968.0;141.2254983075117;6.87979370536895;2052.7577476240335
FR;30-59;2020-09-24;2815;2511;5332;46134;36672;82902;25680932.859880406;31186.0;496041.0;121.43639863145233;6.286980310095334;1931.5536655404426
FR;60+;2020-09-24;1009;903;1915;23649;18677;42372;17857583.105505355;11389.0;256874.0;63.77682765193941;4.433691226048569;1438.4589363652897
FR;whole;2020-09-24;6586;6105;12730;110757;92018;203465;67114995.0;75936.0;1237485.0;113.14312099702906;6.136316803840047;1843.8278956885865
FR;0-29;2020-09-25;2744;2660;5433;40722;36285;77505;23576479.03461425;32672.0;462601.0;138.57879266887983;7.062673880947079;1962.129287078124
FR;30-59;2020-09-25;2630;2344;4978;46711;38107;84927;25680932.859880406;30819.0;484157.0;120.00732281865994;6.365497142455856;1885.2780879948714
FR;60+;2020-09-25;987;881;1870;25810;21407;47289;17857583.105505355;11378.0;255458.0;63.715229170582724;4.453961120810466;1430.5295318561014
FR;whole;2020-09-25;6363;5888;12291;113268;95837;209799;67114995.0;74934.0;1202796.0;111.65016104076294;6.229984136960881;1792.1419795978532
FR;0-29;2020-09-26;1037;1026;2077;16305;14514;31035;23576479.03461425;32449.0;456495.0;137.63293472430465;7.108292533324572;1936.2305937616397
FR;30-59;2020-09-26;999;961;1962;17765;15872;33660;25680932.859880406;30659.0;480846.0;119.384292491557;6.376053871717764;1872.385254163385
FR;60+;2020-09-26;385;376;762;10453;9676;20143;17857583.105505355;11352.0;254862.0;63.569632760103275;4.454175200696848;1427.1920141389571
FR;whole;2020-09-26;2422;2364;4803;44535;40085;84877;67114995.0;74526.0;1192791.0;111.04224920228333;6.248035070687153;1777.234729735136
FR;0-29;2020-09-27;275;271;547;3920;3484;7420;23576479.03461425;32190.0;452520.0;136.53438222365455;7.113497745955979;1919.370569861701
FR;30-59;2020-09-27;284;245;529;4436;4346;8788;25680932.859880406;30504.0;478790.0;118.78073186217604;6.371060381378058;1864.3793144601123
FR;60+;2020-09-27;155;152;307;3750;3323;7079;17857583.105505355;11349.0;254401.0;63.552833174278724;4.4610673700182;1424.6104777839178
FR;whole;2020-09-27;714;669;1384;12107;11155;23290;67114995.0;74109.0;1186293.0;110.42092754383725;6.247107586405719;1767.5528397193502
FR;0-29;2020-09-28;2837;2745;5611;39475;35587;75692;23576479.03461425;31041.0;437175.0;131.6608809755968;7.10036026762738;1854.2845153347678
FR;30-59;2020-09-28;3148;2752;5912;49652;40303;90043;25680932.859880406;29975.0;469709.0;116.72083784319193;6.381610741970029;1829.0184494574758
FR;60+;2020-09-28;1183;1018;2205;28988;23743;52825;17857583.105505355;11111.0;254428.0;62.22006603219763;4.367050796296005;1424.7616740563385
FR;whole;2020-09-28;7173;6520;13741;118172;99712;218706;67114995.0;72193.0;1161897.0;107.56612587097712;6.213373474585096;1731.2032877302606
FR;0-29;2020-09-29;2674;2552;5258;37897;34112;72488;23576479.03461425;30183.0;423644.0;128.02166072247798;7.1246140627508;1796.8925698278317
FR;30-59;2020-09-29;2961;2548;5512;44266;35358;79699;25680932.859880406;29575.0;460780.0;115.16326202543456;6.418464343070446;1794.249463265587
FR;60+;2020-09-29;1065;952;2023;24425;19200;43693;17857583.105505355;10956.0;253714.0;61.35208743126247;4.318248106135255;1420.7633726300953
FR;whole;2020-09-29;6701;6053;12797;106610;88713;195949;67114995.0;70761.0;1138666.0;105.43247451631338;6.2143771746938965;1696.5895624368295
FR;0-29;2020-09-30;2781;2820;5625;37484;34089;72030;23576479.03461425;30031.0;414291.0;127.37695037460608;7.248769584663919;1757.2216758564794
FR;30-59;2020-09-30;2982;2571;5559;41613;33844;75501;25680932.859880406;29784.0;455520.0;115.9770953902128;6.538461538461539;1773.767341262078
FR;60+;2020-09-30;1168;975;2147;22262;17757;40197;17857583.105505355;11229.0;253598.0;62.880849741296664;4.427874036861489;1420.1137886448794
FR;whole;2020-09-30;6934;6369;13339;101433;85762;187880;67114995.0;71085.0;1123966.0;105.91522803510601;6.324479566107871;1674.686856491608
FR;0-29;2020-10-01;2963;2954;5976;37175;33804;71439;23576479.03461425;30527.0;407609.0;129.48074203608272;7.489285074667144;1728.8798696427962
FR;30-59;2020-10-01;3437;3007;6452;43008;36292;79390;25680932.859880406;30904.0;452008.0;120.3383076799334;6.83704713190917;1760.0918255821684
