entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
01;whole;2020-06-27;0;0;0;26;19;45;376879.0;5.0;1396.0;1.3266857532523701;0.35816618911174786;370.4106623080618
01;0-29;2020-06-28;0;0;0;3;1;4;125175.0;2.0;459.0;1.5977631316157381;0.4357298474945534;366.68663870581184
01;30-59;2020-06-28;0;0;0;3;2;5;146601.0;2.0;571.0;1.3642471743030402;0.3502626970227671;389.49256826351797
01;60+;2020-06-28;0;0;0;1;2;3;105103.0;1.0;372.0;0.9514476275653406;0.2688172043010753;353.93851745430675
01;whole;2020-06-28;0;0;0;7;5;12;376879.0;5.0;1402.0;1.3266857532523701;0.3566333808844508;372.00268521196455
01;0-29;2020-06-29;0;0;0;62;28;91;125175.0;2.0;461.0;1.5977631316157381;0.43383947939262474;368.2844018374276
01;30-59;2020-06-29;0;0;0;68;56;124;146601.0;1.0;566.0;0.6821235871515201;0.17667844522968199;386.08195032776035
01;60+;2020-06-29;0;0;0;38;21;59;105103.0;1.0;374.0;0.9514476275653406;0.267379679144385;355.8414127094374
01;whole;2020-06-29;0;0;0;168;106;275;376879.0;4.0;1402.0;1.0613486026018961;0.28530670470756064;372.00268521196455
01;0-29;2020-06-30;1;0;1;78;46;124;125175.0;2.0;502.0;1.5977631316157381;0.398406374501992;401.0385460355502
01;30-59;2020-06-30;0;0;0;92;80;172;146601.0;1.0;628.0;0.6821235871515201;0.15923566878980894;428.37361273115465
01;60+;2020-06-30;1;0;1;44;42;86;105103.0;2.0;383.0;1.9028952551306813;0.5221932114882507;364.40444135752546
01;whole;2020-06-30;2;0;2;214;168;382;376879.0;5.0;1514.0;1.3266857532523701;0.33025099075297226;401.72044608481764
01;0-29;2020-07-01;1;0;1;52;48;100;125175.0;3.0;549.0;2.396644697423607;0.546448087431694;438.5859796285201
01;30-59;2020-07-01;1;0;1;76;66;142;146601.0;2.0;717.0;1.3642471743030402;0.2789400278940028;489.08261198763995
01;60+;2020-07-01;1;0;1;31;23;54;105103.0;3.0;386.0;2.854342882696022;0.7772020725388601;367.2587842402215
01;whole;2020-07-01;3;0;3;159;137;296;376879.0;8.0;1653.0;2.1226972052037922;0.48396854204476714;438.6023100252335
01;0-29;2020-07-02;0;0;0;72;49;121;125175.0;2.0;587.0;1.5977631316157381;0.34071550255536626;468.9434791292191
01;30-59;2020-07-02;0;0;0;114;99;213;146601.0;1.0;808.0;0.6821235871515201;0.12376237623762376;551.1558584184282
01;60+;2020-07-02;0;1;1;25;33;58;105103.0;3.0;367.0;2.854342882696022;0.8174386920980926;349.18127931648
01;whole;2020-07-02;0;1;1;211;182;393;376879.0;6.0;1764.0;1.5920229039028442;0.3401360544217687;468.0547337474362
01;0-29;2020-07-03;0;0;0;78;50;130;125175.0;2.0;586.0;1.5977631316157381;0.3412969283276451;468.1445975634112
01;30-59;2020-07-03;0;1;1;116;73;189;146601.0;2.0;861.0;1.3642471743030402;0.23228803716608595;587.3084085374588
01;60+;2020-07-03;0;0;0;41;21;62;105103.0;3.0;335.0;2.854342882696022;0.8955223880597015;318.7349552343891
01;whole;2020-07-03;0;1;1;235;144;381;376879.0;7.0;1784.0;1.857360054553318;0.3923766816143498;473.3614767604456
01;0-29;2020-07-04;0;0;0;8;7;15;125175.0;2.0;585.0;1.5977631316157381;0.3418803418803419;467.3457159976034
01;30-59;2020-07-04;0;0;0;8;11;19;146601.0;2.0;864.0;1.3642471743030402;0.23148148148148145;589.3547792989133
01;60+;2020-07-04;0;0;0;6;8;14;105103.0;3.0;336.0;2.854342882696022;0.8928571428571428;319.68640286195443
01;whole;2020-07-04;0;0;0;22;26;48;376879.0;7.0;1787.0;1.857360054553318;0.391717963066592;474.15748821239714
01;0-29;2020-07-05;0;0;0;3;1;4;125175.0;2.0;585.0;1.5977631316157381;0.3418803418803419;467.3457159976034
01;30-59;2020-07-05;0;0;0;4;1;5;146601.0;2.0;864.0;1.3642471743030402;0.23148148148148145;589.3547792989133
01;60+;2020-07-05;0;0;0;1;1;2;105103.0;3.0;335.0;2.854342882696022;0.8955223880597015;318.7349552343891
01;whole;2020-07-05;0;0;0;8;3;11;376879.0;7.0;1786.0;1.857360054553318;0.3919372900335946;473.8921510617466
01;0-29;2020-07-06;0;0;0;65;61;126;125175.0;2.0;620.0;1.5977631316157381;0.3225806451612903;495.3065708008787
01;30-59;2020-07-06;1;0;1;105;84;189;146601.0;3.0;929.0;2.0463707614545603;0.32292787944025836;633.6928124637622
01;60+;2020-07-06;0;0;0;46;37;83;105103.0;3.0;359.0;2.854342882696022;0.8356545961002786;341.56969829595727
01;whole;2020-07-06;1;0;1;216;183;399;376879.0;8.0;1910.0;2.1226972052037922;0.41884816753926707;506.7939577424053
01;0-29;2020-07-07;0;0;0;96;66;162;125175.0;1.0;658.0;0.7988815658078691;0.1519756838905775;525.6640703015778
01;30-59;2020-07-07;1;0;1;141;96;237;146601.0;4.0;994.0;2.7284943486060804;0.4024144869215292;678.030845628611
01;60+;2020-07-07;0;0;0;46;30;76;105103.0;2.0;349.0;1.9028952551306813;0.5730659025787965;332.0552220203039
01;whole;2020-07-07;1;0;1;283;192;475;376879.0;7.0;2003.0;1.857360054553318;0.3494757863205192;531.4703127528995
