jour;cl_age90;P;T;pop
;;sum;sum;sum
2020-06-20;79;21;2886;5695639.130797295
2020-06-20;89;15;2076;3245280.6081309738
2020-06-20;90;12;787;912580.6062728533
2020-06-21;0;113;6448;67114995.0
2020-06-21;9;3;345;7763205.686272893
2020-06-21;19;10;334;8336486.160537239
2020-06-21;29;18;559;7476787.1878041085
2020-06-21;39;25;663;8295371.931939545
2020-06-21;49;12;609;8592886.15993014
2020-06-21;59;19;701;8792674.76801071
2020-06-21;69;9;867;8004082.760304243
2020-06-21;79;10;955;5695639.130797295
2020-06-21;89;5;967;3245280.6081309738
2020-06-21;90;2;447;912580.6062728533
2020-06-22;0;595;48101;67114995.0
2020-06-22;9;35;2480;7763205.686272893
2020-06-22;19;61;3469;8336486.160537239
2020-06-22;29;97;5744;7476787.1878041085
2020-06-22;39;103;6037;8295371.931939545
2020-06-22;49;89;5845;8592886.15993014
2020-06-22;59;73;6368;8792674.76801071
2020-06-22;69;50;6347;8004082.760304243
2020-06-22;79;36;5780;5695639.130797295
2020-06-22;89;33;4193;3245280.6081309738
2020-06-22;90;18;1814;912580.6062728533
2020-06-23;0;656;48153;67114995.0
2020-06-23;9;35;2764;7763205.686272893
2020-06-23;19;79;3665;8336486.160537239
2020-06-23;29;117;5957;7476787.1878041085
2020-06-23;39;116;6293;8295371.931939545
2020-06-23;49;98;6008;8592886.15993014
2020-06-23;59;87;6135;8792674.76801071
2020-06-23;69;45;5842;8004082.760304243
2020-06-23;79;27;5179;5695639.130797295
2020-06-23;89;35;4292;3245280.6081309738
2020-06-23;90;15;1995;912580.6062728533
2020-06-24;0;666;45176;67114995.0
2020-06-24;9;42;2819;7763205.686272893
2020-06-24;19;61;3820;8336486.160537239
2020-06-24;29;131;5559;7476787.1878041085
2020-06-24;39;134;6142;8295371.931939545
2020-06-24;49;105;5654;8592886.15993014
2020-06-24;59;75;5796;8792674.76801071
2020-06-24;69;47;5441;8004082.760304243
2020-06-24;79;27;4583;5695639.130797295
2020-06-24;89;29;3628;3245280.6081309738
2020-06-24;90;14;1719;912580.6062728533
2020-06-25;0;508;39486;67114995.0
2020-06-25;9;30;2664;7763205.686272893
2020-06-25;19;48;3260;8336486.160537239
2020-06-25;29;80;4887;7476787.1878041085
2020-06-25;39;113;5354;8295371.931939545
2020-06-25;49;77;4859;8592886.15993014
2020-06-25;59;65;4928;8792674.76801071
2020-06-25;69;33;4545;8004082.760304243
2020-06-25;79;29;4097;5695639.130797295
2020-06-25;89;23;3284;3245280.6081309738
2020-06-25;90;10;1592;912580.6062728533
2020-06-26;0;578;50813;67114995.0
2020-06-26;9;28;4140;7763205.686272893
2020-06-26;19;61;4169;8336486.160537239
2020-06-26;29;116;5840;7476787.1878041085
2020-06-26;39;94;6492;8295371.931939545
2020-06-26;49;90;6162;8592886.15993014
2020-06-26;59;67;6298;8792674.76801071
2020-06-26;69;47;6221;8004082.760304243
2020-06-26;79;44;5570;5695639.130797295
2020-06-26;89;18;4146;3245280.6081309738
2020-06-26;90;12;1759;912580.6062728533
2020-06-27;0;336;24526;67114995.0
2020-06-27;9;29;2048;7763205.686272893
2020-06-27;19;31;1999;8336486.160537239
2020-06-27;29;60;2597;7476787.1878041085
2020-06-27;39;58;2814;8295371.931939545
2020-06-27;49;48;2785;8592886.15993014
2020-06-27;59;40;2956;8792674.76801071
2020-06-27;69;33;3145;8004082.760304243
2020-06-27;79;19;2950;5695639.130797295
2020-06-27;89;10;2311;3245280.6081309738
2020-06-27;90;8;915;912580.6062728533
2020-06-28;0;214;8186;67114995.0
2020-06-28;9;13;687;7763205.686272893
2020-06-28;19;29;551;8336486.160537239
2020-06-28;29;40;766;7476787.1878041085
2020-06-28;39;30;869;8295371.931939545
2020-06-28;49;28;784;8592886.15993014
2020-06-28;59;29;897;8792674.76801071
2020-06-28;69;14;949;8004082.760304243
2020-06-28;79;12;1064;5695639.130797295
2020-06-28;89;10;1096;3245280.6081309738
2020-06-28;90;9;520;912580.6062728533
2020-06-29;0;674;61346;67114995.0
2020-06-29;9;51;5700;7763205.686272893
2020-06-29;19;61;5506;8336486.160537239
2020-06-29;29;116;6851;7476787.1878041085
2020-06-29;39;123;8024;8295371.931939545
2020-06-29;49;103;7322;8592886.15993014
2020-06-29;59;88;7222;8792674.76801071
2020-06-29;69;67;7133;8004082.760304243
2020-06-29;79;34;6309;5695639.130797295
2020-06-29;89;18;4916;3245280.6081309738
