reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-07-15;whole;56;9107;8032377.0
Auvergne-Rhône-Alpes;2020-07-16;0-19;6;1586;1940253.0
Auvergne-Rhône-Alpes;2020-07-16;20-59;41;5133;3980515.0
Auvergne-Rhône-Alpes;2020-07-16;60+;14;2190;2111609.0
Auvergne-Rhône-Alpes;2020-07-16;whole;61;8910;8032377.0
Auvergne-Rhône-Alpes;2020-07-17;0-19;10;1618;1940253.0
Auvergne-Rhône-Alpes;2020-07-17;20-59;35;5359;3980515.0
Auvergne-Rhône-Alpes;2020-07-17;60+;20;2555;2111609.0
Auvergne-Rhône-Alpes;2020-07-17;whole;65;9535;8032377.0
Auvergne-Rhône-Alpes;2020-07-18;0-19;2;812;1940253.0
Auvergne-Rhône-Alpes;2020-07-18;20-59;22;2624;3980515.0
Auvergne-Rhône-Alpes;2020-07-18;60+;8;1384;2111609.0
Auvergne-Rhône-Alpes;2020-07-18;whole;32;4823;8032377.0
Auvergne-Rhône-Alpes;2020-07-19;0-19;0;144;1940253.0
Auvergne-Rhône-Alpes;2020-07-19;20-59;3;466;3980515.0
Auvergne-Rhône-Alpes;2020-07-19;60+;6;484;2111609.0
Auvergne-Rhône-Alpes;2020-07-19;whole;9;1094;8032377.0
Auvergne-Rhône-Alpes;2020-07-20;0-19;15;1564;1940253.0
Auvergne-Rhône-Alpes;2020-07-20;20-59;47;5303;3980515.0
Auvergne-Rhône-Alpes;2020-07-20;60+;14;2741;2111609.0
Auvergne-Rhône-Alpes;2020-07-20;whole;76;9612;8032377.0
Auvergne-Rhône-Alpes;2020-07-21;0-19;8;1500;1940253.0
Auvergne-Rhône-Alpes;2020-07-21;20-59;60;5127;3980515.0
Auvergne-Rhône-Alpes;2020-07-21;60+;17;2629;2111609.0
Auvergne-Rhône-Alpes;2020-07-21;whole;86;9259;8032377.0
Auvergne-Rhône-Alpes;2020-07-22;0-19;15;1502;1940253.0
Auvergne-Rhône-Alpes;2020-07-22;20-59;63;4851;3980515.0
Auvergne-Rhône-Alpes;2020-07-22;60+;10;2303;2111609.0
Auvergne-Rhône-Alpes;2020-07-22;whole;88;8657;8032377.0
Auvergne-Rhône-Alpes;2020-07-23;0-19;16;1209;1940253.0
Auvergne-Rhône-Alpes;2020-07-23;20-59;59;4572;3980515.0
Auvergne-Rhône-Alpes;2020-07-23;60+;17;1932;2111609.0
Auvergne-Rhône-Alpes;2020-07-23;whole;92;7716;8032377.0
Auvergne-Rhône-Alpes;2020-07-24;0-19;20;1412;1940253.0
Auvergne-Rhône-Alpes;2020-07-24;20-59;94;4841;3980515.0
Auvergne-Rhône-Alpes;2020-07-24;60+;23;2451;2111609.0
Auvergne-Rhône-Alpes;2020-07-24;whole;137;8706;8032377.0
Auvergne-Rhône-Alpes;2020-07-25;0-19;9;700;1940253.0
Auvergne-Rhône-Alpes;2020-07-25;20-59;50;2314;3980515.0
Auvergne-Rhône-Alpes;2020-07-25;60+;10;1341;2111609.0
Auvergne-Rhône-Alpes;2020-07-25;whole;69;4357;8032377.0
Auvergne-Rhône-Alpes;2020-07-26;0-19;10;134;1940253.0
Auvergne-Rhône-Alpes;2020-07-26;20-59;25;545;3980515.0
Auvergne-Rhône-Alpes;2020-07-26;60+;8;423;2111609.0
Auvergne-Rhône-Alpes;2020-07-26;whole;43;1102;8032377.0
Auvergne-Rhône-Alpes;2020-07-27;0-19;23;1635;1940253.0
Auvergne-Rhône-Alpes;2020-07-27;20-59;90;5770;3980515.0
Auvergne-Rhône-Alpes;2020-07-27;60+;18;2681;2111609.0
Auvergne-Rhône-Alpes;2020-07-27;whole;131;10089;8032377.0
Auvergne-Rhône-Alpes;2020-07-28;0-19;16;1489;1940253.0
