reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Nouvelle-Aquitaine;2020-09-13;20-59;93;1290;2836500.0;3.278688524590164;7.209302325581396;108.23197602679359
Nouvelle-Aquitaine;2020-09-13;60+;18;483;1870161.0;0.9624839786521053;3.7267080745341614;35.611907210127896
Nouvelle-Aquitaine;2020-09-13;whole;142;2252;5999982.0;2.366673766687967;6.30550621669627;76.13356173401854
Nouvelle-Aquitaine;2020-09-14;0-19;187;4952;1293321.0;14.458900767868148;3.776252019386107;67.73260466659089
Nouvelle-Aquitaine;2020-09-14;20-59;616;12261;2836500.0;21.716904635995064;5.024060027730201;108.23197602679359
Nouvelle-Aquitaine;2020-09-14;60+;184;4489;1870161.0;9.83872511511041;4.098908442860325;38.018117156758166
Nouvelle-Aquitaine;2020-09-14;whole;988;21709;5999982.0;16.466716066814868;4.5511078354599475;77.65023295069886
Nouvelle-Aquitaine;2020-09-15;0-19;157;4968;1293321.0;12.139291019012294;3.1602254428341388;68.27384694132392
Nouvelle-Aquitaine;2020-09-15;20-59;574;11637;2836500.0;20.236206592631763;4.932542751568274;108.54926846465715
Nouvelle-Aquitaine;2020-09-15;60+;155;3516;1870161.0;8.288056482837574;4.408418657565416;40.7986264284198
Nouvelle-Aquitaine;2020-09-15;whole;887;20131;5999982.0;14.783377683466384;4.4061397844121;78.80023640070921
Nouvelle-Aquitaine;2020-09-16;0-19;126;4764;1293321.0;9.742360945194582;2.644836272040302;66.95940141697227
Nouvelle-Aquitaine;2020-09-16;20-59;521;10527;2836500.0;18.367706680768553;4.949178303410278;108.02044773488453
Nouvelle-Aquitaine;2020-09-16;60+;189;3352;1870161.0;10.106081775847105;5.638424821002387;45.02286166805959
Nouvelle-Aquitaine;2020-09-16;whole;836;18648;5999982.0;13.933375133458735;4.483054483054483;79.58357208404959
Nouvelle-Aquitaine;2020-09-17;0-19;159;4627;1293321.0;12.293931668936017;3.4363518478495787;66.57279979216297
Nouvelle-Aquitaine;2020-09-17;20-59;544;10327;2836500.0;19.17856513308655;5.267744746780285;107.03331570597567
Nouvelle-Aquitaine;2020-09-17;60+;167;3098;1870161.0;8.929712468605643;5.39057456423499;46.5200589681851
Nouvelle-Aquitaine;2020-09-17;whole;871;18060;5999982.0;14.516710216797316;4.82281284606866;79.51690521738233
