reg;jour;cl_age90;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-06-08;79;0;570;687362.0
Auvergne-Rhône-Alpes;2020-06-08;89;7;491;387722.0
Auvergne-Rhône-Alpes;2020-06-08;90;5;249;109865.0
Auvergne-Rhône-Alpes;2020-06-09;0;25;3982;8032377.0
Auvergne-Rhône-Alpes;2020-06-09;9;0;233;940637.0
Auvergne-Rhône-Alpes;2020-06-09;19;2;317;999616.0
Auvergne-Rhône-Alpes;2020-06-09;29;5;506;894918.0
Auvergne-Rhône-Alpes;2020-06-09;39;3;466;1005784.0
Auvergne-Rhône-Alpes;2020-06-09;49;2;476;1035354.0
Auvergne-Rhône-Alpes;2020-06-09;59;1;489;1044459.0
Auvergne-Rhône-Alpes;2020-06-09;69;3;479;926660.0
Auvergne-Rhône-Alpes;2020-06-09;79;2;480;687362.0
Auvergne-Rhône-Alpes;2020-06-09;89;3;369;387722.0
Auvergne-Rhône-Alpes;2020-06-09;90;4;166;109865.0
Auvergne-Rhône-Alpes;2020-06-10;0;33;3853;8032377.0
Auvergne-Rhône-Alpes;2020-06-10;9;1;210;940637.0
Auvergne-Rhône-Alpes;2020-06-10;19;1;271;999616.0
Auvergne-Rhône-Alpes;2020-06-10;29;4;481;894918.0
Auvergne-Rhône-Alpes;2020-06-10;39;7;502;1005784.0
Auvergne-Rhône-Alpes;2020-06-10;49;2;438;1035354.0
Auvergne-Rhône-Alpes;2020-06-10;59;4;518;1044459.0
Auvergne-Rhône-Alpes;2020-06-10;69;2;476;926660.0
Auvergne-Rhône-Alpes;2020-06-10;79;3;430;687362.0
Auvergne-Rhône-Alpes;2020-06-10;89;6;333;387722.0
Auvergne-Rhône-Alpes;2020-06-10;90;3;194;109865.0
Auvergne-Rhône-Alpes;2020-06-11;0;51;3461;8032377.0
Auvergne-Rhône-Alpes;2020-06-11;9;1;216;940637.0
Auvergne-Rhône-Alpes;2020-06-11;19;10;256;999616.0
Auvergne-Rhône-Alpes;2020-06-11;29;4;405;894918.0
Auvergne-Rhône-Alpes;2020-06-11;39;4;490;1005784.0
Auvergne-Rhône-Alpes;2020-06-11;49;7;426;1035354.0
Auvergne-Rhône-Alpes;2020-06-11;59;4;458;1044459.0
Auvergne-Rhône-Alpes;2020-06-11;69;5;382;926660.0
Auvergne-Rhône-Alpes;2020-06-11;79;5;357;687362.0
Auvergne-Rhône-Alpes;2020-06-11;89;6;321;387722.0
Auvergne-Rhône-Alpes;2020-06-11;90;5;148;109865.0
Auvergne-Rhône-Alpes;2020-06-12;0;41;4048;8032377.0
Auvergne-Rhône-Alpes;2020-06-12;9;3;248;940637.0
Auvergne-Rhône-Alpes;2020-06-12;19;8;308;999616.0
Auvergne-Rhône-Alpes;2020-06-12;29;5;478;894918.0
Auvergne-Rhône-Alpes;2020-06-12;39;3;487;1005784.0
Auvergne-Rhône-Alpes;2020-06-12;49;7;436;1035354.0
Auvergne-Rhône-Alpes;2020-06-12;59;5;552;1044459.0
Auvergne-Rhône-Alpes;2020-06-12;69;1;478;926660.0
Auvergne-Rhône-Alpes;2020-06-12;79;7;475;687362.0
Auvergne-Rhône-Alpes;2020-06-12;89;2;417;387722.0
Auvergne-Rhône-Alpes;2020-06-12;90;0;168;109865.0
Auvergne-Rhône-Alpes;2020-06-13;0;7;2204;8032377.0
Auvergne-Rhône-Alpes;2020-06-13;9;0;147;940637.0
Auvergne-Rhône-Alpes;2020-06-13;19;0;159;999616.0
Auvergne-Rhône-Alpes;2020-06-13;29;2;223;894918.0
Auvergne-Rhône-Alpes;2020-06-13;39;2;262;1005784.0
Auvergne-Rhône-Alpes;2020-06-13;49;2;246;1035354.0
Auvergne-Rhône-Alpes;2020-06-13;59;0;289;1044459.0
Auvergne-Rhône-Alpes;2020-06-13;69;0;257;926660.0
Auvergne-Rhône-Alpes;2020-06-13;79;1;298;687362.0
Auvergne-Rhône-Alpes;2020-06-13;89;0;226;387722.0
Auvergne-Rhône-Alpes;2020-06-13;90;0;97;109865.0
Auvergne-Rhône-Alpes;2020-06-14;0;10;707;8032377.0
Auvergne-Rhône-Alpes;2020-06-14;9;0;28;940637.0
Auvergne-Rhône-Alpes;2020-06-14;19;0;25;999616.0
Auvergne-Rhône-Alpes;2020-06-14;29;1;68;894918.0
Auvergne-Rhône-Alpes;2020-06-14;39;1;68;1005784.0
Auvergne-Rhône-Alpes;2020-06-14;49;0;59;1035354.0
Auvergne-Rhône-Alpes;2020-06-14;59;3;94;1044459.0
Auvergne-Rhône-Alpes;2020-06-14;69;0;84;926660.0
Auvergne-Rhône-Alpes;2020-06-14;79;0;103;687362.0
Auvergne-Rhône-Alpes;2020-06-14;89;4;116;387722.0
Auvergne-Rhône-Alpes;2020-06-14;90;1;62;109865.0
Auvergne-Rhône-Alpes;2020-06-15;0;33;4447;8032377.0
Auvergne-Rhône-Alpes;2020-06-15;9;5;206;940637.0
Auvergne-Rhône-Alpes;2020-06-15;19;5;280;999616.0
Auvergne-Rhône-Alpes;2020-06-15;29;4;493;894918.0
Auvergne-Rhône-Alpes;2020-06-15;39;6;511;1005784.0
Auvergne-Rhône-Alpes;2020-06-15;49;2;525;1035354.0
Auvergne-Rhône-Alpes;2020-06-15;59;3;565;1044459.0
Auvergne-Rhône-Alpes;2020-06-15;69;2;585;926660.0
