jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-07-26;whole;263;14923;67114995.0;0.3918647390199463;1.7623802184547344;9.801088415487477
2020-07-27;0-19;223;14565;16099691.846810132;1.3851196788228184;1.531067627875043;6.906964497089572
2020-07-27;20-59;958;59044;33157720.0476845;2.8892215707904194;1.6225187995393267;13.951502073566264
2020-07-27;60+;233;28755;17857583.105505366;1.3047678323735072;0.8102938619370545;6.803832258943396
2020-07-27;whole;1417;102441;67114995.0;2.1113016547196346;1.383235228082506;10.380690634037892
2020-07-28;0-19;191;14075;16099691.846810132;1.1863581105612482;1.3570159857904085;7.000133982212183
2020-07-28;20-59;945;60510;33157720.0476845;2.850015015028128;1.5617253346554287;14.675315410716262
2020-07-28;60+;219;28693;17857583.105505366;1.2263697651922665;0.7632523612030809;6.854231016417051
2020-07-28;whole;1363;103334;67114995.0;2.030842734920862;1.3190237482338825;10.78149525303548
2020-07-29;0-19;223;15177;16099691.846810132;1.3851196788228184;1.4693285893127759;7.2113181484901006
2020-07-29;20-59;1010;64218;33157720.0476845;3.0460477938395862;1.5727677598181193;15.396112858961475
2020-07-29;60+;231;27816;17857583.105505366;1.2935681084904729;0.8304572907679034;7.044626322428635
2020-07-29;whole;1470;107265;67114995.0;2.1902705945221332;1.3704377010208362;11.247858991869103
2020-07-30;0-19;255;14585;16099691.846810132;1.5838812470843888;1.748371614672609;7.658531677078633
2020-07-30;20-59;1061;64631;33157720.0476845;3.199858127983962;1.6416270829787563;16.33103841944689
2020-07-30;60+;225;25774;17857583.105505366;1.2599689368413696;0.8729727632497866;7.173423147083532
2020-07-30;whole;1543;105047;67114995.0;2.299039134250103;1.4688663169819225;11.846830950371075
2020-07-31;0-19;283;15501;16099691.846810132;1.757797619313263;1.8256886652474034;8.118167803683512
2020-07-31;20-59;1137;65245;33157720.0476845;3.4290656847481285;1.742662272971109;17.235805090884394
2020-07-31;60+;204;28682;17857583.105505366;1.1423718360695085;0.7112474722822676;7.067025770194705
2020-07-31;whole;1624;109480;67114995.0;2.4197275139482612;1.4833759590792839;12.37130390905937
2020-08-01;0-19;132;6985;16099691.846810132;0.8198914690789777;1.889763779527559;8.360408465002303
2020-08-01;20-59;533;27824;33157720.0476845;1.6074687862539598;1.91561242093157;17.549457536982725
2020-08-01;60+;122;12520;17857583.105505366;0.6831831568650982;0.9744408945686902;7.184622870966566
2020-08-01;whole;788;47349;67114995.0;1.1741042370635653;1.6642378930917232;12.617150608444506
2020-08-02;0-19;25;2196;16099691.846810132;0.15528247520435184;1.1384335154826957;8.273450278887866
2020-08-02;20-59;171;9141;33157720.0476845;0.5157170027193755;1.8706924844108959;17.53739398136356
2020-08-02;60+;48;5105;17857583.105505366;0.26879337319282554;0.940254652301665;7.179023009025049
