jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
2020-04-24;whole;28554;4785;0.0;0.0;0.0;43486;13841;42.544888813595236;7.129554282168985
2020-04-25;0-19;165;40;0.0;0.0;0.0;827;5;1.0248643902544465;0.24845197339501732
2020-04-25;20-59;4847;1420;0.0;0.0;0.0;18318;889;14.618013542547558;4.2825622509629735
2020-04-25;60+;22925;3140;0.0;0.0;0.0;25079;13056;128.376835767752;17.583566600250435
2020-04-25;whole;28119;4641;0.0;0.0;0.0;44587;14039;41.896747515216234;6.914997162705593
2020-04-26;0-19;163;39;0.0;0.0;0.0;837;5;1.0124417915846957;0.2422406740601419
2020-04-26;20-59;4838;1413;0.0;0.0;0.0;18421;898;14.590870542365396;4.261451028599071
2020-04-26;60+;22928;3105;0.0;0.0;0.0;25273;13198;128.39363535367582;17.387571431139367
2020-04-26;whole;28114;4598;0.0;0.0;0.0;44896;14191;41.88929761523487;6.850928022865829
2020-04-27;0-19;162;40;0.0;0.0;0.0;847;5;1.0062304922498202;0.24845197339501732
2020-04-27;20-59;4799;1397;0.0;0.0;0.0;18587;906;14.473250874909372;4.213196806053009
2020-04-27;60+;22811;3050;0.0;0.0;0.0;25703;13484;127.73845150264737;17.079579022536254
2020-04-27;whole;27954;4526;0.0;0.0;0.0;45506;14486;41.65090081583109;6.743649463134132
2020-04-28;0-19;161;43;0.0;0.0;0.0;860;5;1.0000191929149447;0.2670858713996436
2020-04-28;20-59;4624;1325;0.0;0.0;0.0;18935;926;13.945470315811821;3.996052804595732
2020-04-28;60+;22423;2904;0.0;0.0;0.0;26711;13775;125.56570505650177;16.261999174244355
2020-04-28;whole;27385;4307;0.0;0.0;0.0;46879;14798;40.80310219795144;6.417343843950223
2020-04-29;0-19;153;39;0.0;0.0;0.0;880;5;0.9503287982359414;0.2422406740601419
2020-04-29;20-59;4487;1262;0.0;0.0;0.0;19280;941;13.53229353526117;3.8060518033206145
2020-04-29;60+;21924;2796;0.0;0.0;0.0;27685;14003;122.77137393117533;15.657214080987332
2020-04-29;whole;26736;4128;0.0;0.0;0.0;48221;15041;39.8361051803699;6.150637424617257
2020-04-30;0-19;156;46;0.0;0.0;0.0;899;5;0.9689626962405676;0.2857197694042699
2020-04-30;20-59;4315;1202;0.0;0.0;0.0;19610;953;13.013560642891008;3.625098468772883
2020-04-30;60+;21547;2671;0.0;0.0;0.0;28580;14180;120.66022596675036;14.957231334162076
2020-04-30;whole;26192;3947;0.0;0.0;0.0;49469;15231;39.02555606239709;5.8809510452917415
2020-05-01;0-19;152;45;0.0;0.0;0.0;909;5;0.9441174989010659;0.2795084700693945
2020-05-01;20-59;4212;1164;0.0;0.0;0.0;19761;961;12.702924085250734;3.5104946902259866
2020-05-01;60+;21279;2583;0.0;0.0;0.0;29150;14289;119.15946295755703;14.464443480397096
2020-05-01;whole;25809;3819;0.0;0.0;0.0;50204;15350;38.454893723824306;5.690233605768726
2020-05-02;0-19;158;48;0.0;0.0;0.0;921;5;0.9813852949103186;0.2981423680740208
2020-05-02;20-59;4177;1145;0.0;0.0;0.0;19874;973;12.597367973431226;3.4531928009525386
2020-05-02;60+;21252;2550;0.0;0.0;0.0;29374;14392;119.00826668424277;14.279648035235228
2020-05-02;whole;25751;3770;0.0;0.0;0.0;50554;15468;38.368474884040445;5.6172245859513215
2020-05-03;0-19;155;48;0.0;0.0;0.0;928;5;0.9627513969056921;0.2981423680740208
