reg;jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;;sum;sum;sum;sum;sum;sum;sum
11;2020-05-29;60+;4992;353;0.0;0.0;0.0;14382;6299
11;2020-05-29;whole;6374;589;0.0;0.0;0.0;24567;7053
11;2020-05-30;0-19;41;11;0.0;0.0;0.0;437;5
11;2020-05-30;20-59;1243;213;0.0;0.0;0.0;9566;691
11;2020-05-30;60+;4873;343;0.0;0.0;0.0;14522;6337
11;2020-05-30;whole;6212;570;0.0;0.0;0.0;24761;7091
11;2020-05-31;0-19;40;10;0.0;0.0;0.0;438;5
11;2020-05-31;20-59;1236;212;0.0;0.0;0.0;9574;692
11;2020-05-31;60+;4837;337;0.0;0.0;0.0;14541;6351
11;2020-05-31;whole;6169;562;0.0;0.0;0.0;24789;7106
11;2020-06-01;0-19;41;10;0.0;0.0;0.0;438;5
11;2020-06-01;20-59;1228;210;0.0;0.0;0.0;9585;692
11;2020-06-01;60+;4813;336;0.0;0.0;0.0;14576;6364
11;2020-06-01;whole;6139;559;0.0;0.0;0.0;24835;7119
11;2020-06-02;0-19;40;9;0.0;0.0;0.0;440;5
11;2020-06-02;20-59;1215;207;0.0;0.0;0.0;9614;696
11;2020-06-02;60+;4785;331;0.0;0.0;0.0;14632;6388
11;2020-06-02;whole;6097;549;0.0;0.0;0.0;24922;7147
11;2020-06-03;0-19;38;8;0.0;0.0;0.0;442;5
11;2020-06-03;20-59;1182;201;0.0;0.0;0.0;9659;698
11;2020-06-03;60+;4591;329;0.0;0.0;0.0;14847;6421
11;2020-06-03;whole;5867;540;0.0;0.0;0.0;25186;7182
11;2020-06-04;0-19;42;9;0.0;0.0;0.0;443;5
11;2020-06-04;20-59;1180;194;0.0;0.0;0.0;9680;698
11;2020-06-04;60+;4477;318;0.0;0.0;0.0;14988;6433
11;2020-06-04;whole;5755;523;0.0;0.0;0.0;25349;7194
11;2020-06-05;0-19;42;9;0.0;0.0;0.0;444;5
11;2020-06-05;20-59;1158;185;0.0;0.0;0.0;9712;700
11;2020-06-05;60+;4371;307;0.0;0.0;0.0;15111;6442
11;2020-06-05;whole;5626;503;0.0;0.0;0.0;25506;7205
11;2020-06-06;0-19;40;8;0.0;0.0;0.0;446;5
11;2020-06-06;20-59;1143;179;0.0;0.0;0.0;9731;704
11;2020-06-06;60+;4251;289;0.0;0.0;0.0;15241;6458
11;2020-06-06;whole;5488;478;0.0;0.0;0.0;25658;7225
11;2020-06-07;0-19;40;8;0.0;0.0;0.0;446;5
11;2020-06-07;20-59;1139;176;0.0;0.0;0.0;9737;705
11;2020-06-07;60+;4249;289;0.0;0.0;0.0;15246;6462
11;2020-06-07;whole;5482;475;0.0;0.0;0.0;25669;7230
11;2020-06-08;0-19;38;7;0.0;0.0;0.0;449;5
11;2020-06-08;20-59;1124;167;0.0;0.0;0.0;9754;708
11;2020-06-08;60+;4207;285;0.0;0.0;0.0;15297;6473
11;2020-06-08;whole;5423;461;0.0;0.0;0.0;25740;7244
11;2020-06-09;0-19;36;6;0.0;0.0;0.0;453;5
11;2020-06-09;20-59;1096;163;0.0;0.0;0.0;9788;713
11;2020-06-09;60+;4103;273;0.0;0.0;0.0;15413;6498
11;2020-06-09;whole;5288;444;0.0;0.0;0.0;25895;7274
11;2020-06-10;0-19;37;7;0.0;0.0;0.0;453;5
11;2020-06-10;20-59;1085;159;0.0;0.0;0.0;9804;714
11;2020-06-10;60+;4062;267;0.0;0.0;0.0;15469;6506
11;2020-06-10;whole;5236;435;0.0;0.0;0.0;25967;7283
11;2020-06-11;0-19;37;8;0.0;0.0;0.0;454;5
11;2020-06-11;20-59;1065;157;0.0;0.0;0.0;9831;716
11;2020-06-11;60+;3996;261;0.0;0.0;0.0;15556;6517
11;2020-06-11;whole;5150;428;0.0;0.0;0.0;26083;7295
11;2020-06-12;0-19;37;8;0.0;0.0;0.0;455;5
11;2020-06-12;20-59;1047;156;0.0;0.0;0.0;9855;720
11;2020-06-12;60+;3899;259;0.0;0.0;0.0;15656;6528
11;2020-06-12;whole;5035;425;0.0;0.0;0.0;26208;7310
11;2020-06-13;0-19;36;7;0.0;0.0;0.0;455;5
11;2020-06-13;20-59;992;151;0.0;0.0;0.0;9901;722
11;2020-06-13;60+;3814;258;0.0;0.0;0.0;15727;6541
11;2020-06-13;whole;4891;418;0.0;0.0;0.0;26327;7325
11;2020-06-14;0-19;35;7;0.0;0.0;0.0;456;5
11;2020-06-14;20-59;986;147;0.0;0.0;0.0;9908;722
11;2020-06-14;60+;3806;259;0.0;0.0;0.0;15735;6544
11;2020-06-14;whole;4876;415;0.0;0.0;0.0;26343;7328
11;2020-06-15;0-19;35;7;0.0;0.0;0.0;456;5
11;2020-06-15;20-59;976;139;0.0;0.0;0.0;9922;723
11;2020-06-15;60+;3760;250;0.0;0.0;0.0;15798;6554
11;2020-06-15;whole;4819;398;0.0;0.0;0.0;26421;7339
11;2020-06-16;0-19;31;6;0.0;0.0;0.0;463;5
11;2020-06-16;20-59;960;138;0.0;0.0;0.0;9942;724
11;2020-06-16;60+;3671;242;0.0;0.0;0.0;15890;6572
11;2020-06-16;whole;4710;388;0.0;0.0;0.0;26540;7358
11;2020-06-17;0-19;30;6;0.0;0.0;0.0;465;5
11;2020-06-17;20-59;941;125;0.0;0.0;0.0;9957;728
11;2020-06-17;60+;3605;223;0.0;0.0;0.0;15961;6579
11;2020-06-17;whole;4624;356;0.0;0.0;0.0;26628;7369
11;2020-06-18;0-19;31;6;0.0;0.0;0.0;465;5
11;2020-06-18;20-59;939;123;0.0;0.0;0.0;9968;729
11;2020-06-18;60+;3557;221;0.0;0.0;0.0;16028;6582
11;2020-06-18;whole;4576;352;0.0;0.0;0.0;26706;7373
11;2020-06-19;0-19;29;5;0.0;0.0;0.0;467;5
11;2020-06-19;20-59;934;121;0.0;0.0;0.0;9980;729
11;2020-06-19;60+;3504;217;0.0;0.0;0.0;16100;6584
11;2020-06-19;whole;4517;345;0.0;0.0;0.0;26793;7375
11;2020-06-20;0-19;26;5;0.0;0.0;0.0;470;5
11;2020-06-20;20-59;910;118;0.0;0.0;0.0;10008;731
11;2020-06-20;60+;3467;216;0.0;0.0;0.0;16146;6590
11;2020-06-20;whole;4450;341;0.0;0.0;0.0;26870;7383
11;2020-06-21;0-19;26;5;0.0;0.0;0.0;471;5
11;2020-06-21;20-59;908;116;0.0;0.0;0.0;10014;731
11;2020-06-21;60+;3460;216;0.0;0.0;0.0;16157;6592
11;2020-06-21;whole;4441;339;0.0;0.0;0.0;26888;7385
11;2020-06-22;0-19;32;5;0.0;0.0;0.0;471;5
11;2020-06-22;20-59;901;117;0.0;0.0;0.0;10031;732
11;2020-06-22;60+;3408;213;0.0;0.0;0.0;16239;6599
11;2020-06-22;whole;4390;337;0.0;0.0;0.0;26987;7393
11;2020-06-23;0-19;32;5;0.0;0.0;0.0;471;5
11;2020-06-23;20-59;885;117;0.0;0.0;0.0;10053;733
11;2020-06-23;60+;3326;206;0.0;0.0;0.0;16337;6612
11;2020-06-23;whole;4292;330;0.0;0.0;0.0;27107;7407
11;2020-06-24;0-19;31;4;0.0;0.0;0.0;472;5
11;2020-06-24;20-59;866;117;0.0;0.0;0.0;10076;733
