jour;cl_age90;P;T;pop;incidence;positivite;incidence hebdo
2020-08-16;79;26;1706;5695639.130797295;0.45648959498528535;1.5240328253223916;11.113765908680216
2020-08-16;89;21;1545;3245280.6081309738;0.6470935039449284;1.3592233009708738;10.908147637928794
2020-08-16;90;16;762;912580.6062728532;1.7532697813234206;2.099737532808399;15.56026930924536
2020-08-17;0;4952;152234;67114995.0;7.378380941546669;3.252887002903425;28.5539766485865
2020-08-17;9;144;5283;7763205.686272893;1.8549038350822604;2.72572402044293;8.063679171954826
2020-08-17;19;539;15902;8336486.160537239;6.465553827120664;3.3895107533643567;25.634301537211243
2020-08-17;29;1613;30404;7476787.1878041085;21.573437353293578;5.3052229969740825;79.78025654829274
2020-08-17;39;948;24191;8295371.931939545;11.42805901625616;3.9188127816129965;42.15603626566222
2020-08-17;49;643;20761;8592886.15993014;7.482933999502999;3.097153316314243;29.629160128669724
2020-08-17;59;510;19703;8792674.76801071;5.800282774650887;2.5884383088869716;22.882684201171735
2020-08-17;69;316;15367;8004082.760304243;3.947985165360641;2.0563545259321923;14.655020882810224
2020-08-17;79;129;10829;5695639.130797295;2.264890682811608;1.1912457290608551;11.675599256354413
2020-08-17;89;80;6622;3245280.6081309738;2.465118110266394;1.2080942313500453;11.77093897652203
2020-08-17;90;28;3105;912580.6062728532;3.068222117315986;0.9017713365539453;16.327324838574356
2020-08-18;0;4694;143619;67114995.0;6.993966102508091;3.2683697839422363;31.614395560932394
2020-08-18;9;133;4854;7763205.686272893;1.7132097921245877;2.740008240626288;8.424354917665266
2020-08-18;19;468;14026;8336486.160537239;5.613876050264325;3.3366604876657635;27.745502786883296
2020-08-18;29;1581;29566;7476787.1878041085;21.14544603568329;5.3473584522762625;90.27941855842012
2020-08-18;39;880;22928;8295371.931939545;10.60832482521669;3.8381018841591072;47.0021119244544
2020-08-18;49;624;19645;8592886.15993014;7.261820864214418;3.176380758462713;32.78293168989105
2020-08-18;59;495;18333;8792674.76801071;5.629686222455272;2.7000490918016693;25.54399041542332
2020-08-18;69;277;14374;8004082.760304243;3.460733831661068;1.9270905802142757;15.954357772675754
2020-08-18;79;125;10135;5695639.130797295;2.1946615143523336;1.23334977799704;12.202318019798973
2020-08-18;89;72;6628;3245280.6081309738;2.2186062992397546;1.0863005431502715;12.048264763927
2020-08-18;90;37;3068;912580.6062728532;4.054436369310411;1.2059973924380705;18.080594619897774
2020-08-19;0;4802;143189;67114995.0;7.154883942105634;3.3536095649805504;34.501976793710554
2020-08-19;9;138;4454;7763205.686272893;1.777616175287166;3.0983385720700496;8.836555769905768
2020-08-19;19;488;14014;8336486.160537239;5.853785283181604;3.482232053660625;30.03663596124331
2020-08-19;29;1669;30486;7476787.1878041085;22.322422159111582;5.474644098930657;100.12321886345674
2020-08-19;39;842;23361;8295371.931939545;10.150238071400514;3.6042977612259746;51.06461813592942
2020-08-19;49;605;19561;8592886.15993014;7.040707728925839;3.092888911609836;35.37810164617281
2020-08-19;59;520;18538;8792674.76801071;5.9140138094479635;2.805049088359046;28.171177319235774
2020-08-19;69;300;13977;8004082.760304243;3.7480871823044057;2.14638334406525;17.353643654069398
2020-08-19;79;135;9575;5695639.130797295;2.37023443550052;1.4099216710182767;12.887052412276901
2020-08-19;89;77;6304;3245280.6081309738;2.3726761811314043;1.2214467005076142;12.81861417338525
2020-08-19;90;25;2857;912580.6062728532;2.739484033317845;0.8750437521876094;19.285967594557626
2020-08-20;0;5064;151831;67114995.0;7.545258701129309;3.3352872601774344;36.85167524783396
2020-08-20;9;178;4717;7763205.686272893;2.292867240587794;3.7735849056603774;9.78977024071193
2020-08-20;19;586;15010;8336486.160537239;7.02934052447627;3.9040639573617586;32.01588713281086
2020-08-20;29;1738;32432;7476787.1878041085;23.245278437708766;5.358904785397138;109.81989715306483
2020-08-20;39;886;24837;8295371.931939545;10.680654312661348;3.5672585255868263;53.764919000530035
2020-08-20;49;597;21117;8592886.15993014;6.94760746143591;2.8271061230288392;36.530217456360674
2020-08-20;59;525;19909;8792674.76801071;5.970879326846501;2.6369983424581847;29.74066559943543
2020-08-20;69;314;14466;8004082.760304243;3.9229979174786114;2.1706069404120005;18.92784027063725
